단어,품사
가게,명
가격03,명
가구03,명
가구04,명
가까워지다,동
가까이,부
가까이,명
가깝다,형
가꾸다,동
가끔,부
가난01,명
가난하다,형
가늘다,형
가능,명
가능성,명
가능하다,형
가능해지다,동
가다01,동
가다01,보
가득01,부
가득하다01,형
가득히,부
가라앉다,동
가려지다,동
가령05,부
가로01,명
가로등,명
가로막다,동
가로수,명
가루01,명
가르다,동
가르치다01,동
가르침,명
가리다02,동
가리다03,동
가리키다01,동
가만,부
가만있다,동
가만히,부
가뭄,명
가방01,명
가볍다,형
가사09,명
가상05,명
가수11,명
가스,명
가슴01,명
가슴속,명
가요02,명
가운데,명
가위01,명
가을01,명
가이드,명
가입,명
가입자,명
가입하다,동
가장01,부
가장07,명
가정06,명
가정07,명
가정교사,명
가져가다,동
가져다주다,동
가져오다,동
가족01,명
가죽01,명
가지01,명
가지04,의
가지다,동
가지다,보
가짜,명
가치06,명
가치관,명
가톨릭,명
가하다01,동
각01,관
각각01,부
각각01,명
각국,명
각기02,부
각오01,명
각자02,명
각자02,부
각종,명
간01,명
간08,명
간10,의
간격02,명
간단하다02,형
간단히,부
간부05,명
간섭,명
간식02,명
간신히,부
간장01,명
간접,명
간접적,명
간판02,명
간편하다,형
간호,명
간호사,명
간혹,부
갇히다,동
갈다01,동
갈다02,동
갈등,명
갈비01,명
갈비탕,명
갈색,명
갈수록,부
갈아입다,동
갈아타다,동
갈증,명
감01,명
감12,명
감각02,명
감기04,명
감다01,동
감다03,동
감독02,명
감동02,명
감동적,명
감사08,명
감사하다05,형
감사하다05,동
감상05,명
감상하다04,동
감소01,명
감소되다,동
감소하다,동
감수성02,명
감싸다,동
감옥02,명
감자01,명
감정06,명
감정적01,명
감추다,동
감히,부
갑05,명
갑자기,부
갑작스럽다,형
값,명
값싸다,형
강01,명
강남,명
강당,명
강도05,명
강도06,명
강력하다,형
강력히,부
강렬하다02,형
강물,명
강변01,명
강북,명
강사04,명
강수량,명
강아지,명
강요하다,동
강원도,고
강의02,명
강의하다02,동
강제01,명
강조02,명
강조하다,동
강하다02,형
강화하다02,동
갖가지,명
갖다01,동
갖다01,보
갖추다,동
같다,형
같이,부
같이하다,동
갚다,동
개03,명
개10,의
개개인,명
개구리,명
개국01,의
개나리01,명
개다01,동
개미03,명
개발되다,동
개발하다,동
개방04,명
개방되다,동
개방하다03,동
개별,명
개선01,명
개선되다01,동
개선하다01,동
개성03,명
개월,의
개인02,명
개인적,명
객관적,명
걔,불
거01,대
거01,의
거기01,대
거꾸로,부
거대하다,형
거두다,동
거들다01,동
거듭,부
거리01,명
거리02,의
거리08,명
거부하다,동
거실02,명
거액,명
거울01,명
거의01,부
거절하다01,동
거짓,명
거짓말,명
거치다01,동
거칠다,형
거품,명
걱정,명
걱정되다,동
걱정스럽다,형
걱정하다,동
건04,의
건강03,명
건강하다02,형
건너01,명
건너가다,동
건너다,동
건너오다,동
건너편,명
건넌방,명
건네다,동
건네주다,동
건드리다,동
건물03,명
건설,명
건설되다,동
건설하다,동
건전하다,형
건조04,명
건조하다02,형
건지다,동
건축01,명
걷기,명
걷다02,동
걷다03,동
걷다04,동
걸다02,동
걸리다01,동
걸어가다,동
걸어오다01,동
걸음,명
걸치다,동
검다02,형
검사02,명
검사03,명
검은색,명
검정색,명
검토,명
겁05,명
겁나다02,동
것01,의
겉01,명
게01,명
게다가,부
게시판,명
게으르다,형
게임,명
겨우,부
겨울,명
겨울철,명
겨자01,명
겪다,동
견디다,동
견해02,명
결과02,명
결과적,명
결국,명
결론02,명
결석01,명
결석하다,동
결승01,명
결심01,명
결심하다01,동
결정01,명
결정되다01,동
결정하다01,동
결코,부
결혼,명
결혼식,명
결혼하다,동
경계04,명
경고04,명
경고하다02,동
경기05,명
경기11,명
경기도,고
경기장,명
경력02,명
경복궁,고
경비02,명
경상도,고
경영02,명
경영하다01,동
경우03,명
경쟁,명
경쟁력,명
경제04,명
경제력,명
경제적,명
경제학,명
경주,고
경찰04,명
경찰관,명
경찰서,명
경치02,명
경향02,명
경험,명
경험하다,동
곁01,명
계곡01,명
계단04,명
계란,명
계산01,명
계산기,명
계산하다,동
계속04,부
계속되다02,동
계속하다03,동
계시다,보
계시다,동
계약,명
계절01,명
계좌02,명
계층,명
계획01,명
계획하다01,동
고개01,명
고개02,명
고객04,명
고교04,명
고구려,고
고구마,명
고궁01,명
고급02,명
고급스럽다,형
고기01,명
고등학교,명
고등학생,명
고려,고
고려하다01,동
고르다01,동
고르다03,형
고맙다01,형
고모01,명
고모부,명
고무신,명
고민,명
고민하다,동
고생,명
고생하다,동
고소하다01,형
고속02,명
고속도로,명
고속버스,명
고양이,명
고요하다,형
고작02,부
고장01,명
고장11,명
고전02,명
고집02,명
고집하다,동
고추01,명
고추장,명
고춧가루,명
고치다01,동
고통,명
고통스럽다,형
고프다,형
고함01,명
고향02,명
곡02,명
곡식,명
곤란하다,형
곧01,부
곧다01,형
